/home/jsolorzano/work/kf_fastqs
/home/jsolorzano/work/kf_fastqs
Started analysis of PDAC200Tkf1_fwd.fq.gz
Started analysis of PDAC200Tkf1_rev.fq.gz
Started analysis of PDAC201T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC201T_F8-9kf1_rev.fq.gz
Started analysis of PDAC201Tkf1_fwd.fq.gz
Started analysis of PDAC201Tkf1_rev.fq.gz
Started analysis of PDAC202T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC202T_F8-9kf1_rev.fq.gz
Started analysis of PDAC202Tkf1_fwd.fq.gz
Started analysis of PDAC202Tkf1_rev.fq.gz
Started analysis of PDAC203T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC203T_F8-9kf1_rev.fq.gz
Started analysis of PDAC203Tkf1_fwd.fq.gz
Started analysis of PDAC203Tkf1_rev.fq.gz
Approx 60% complete for PDAC213Tkf1_fwd.fq.gz
Approx 55% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC217Tkf1_fwd.fq.gz
Approx 35% complete for PDAC216Tkf1_fwd.fq.gz
Approx 45% complete for PDAC215Tkf1_fwd.fq.gz
Approx 40% complete for PDAC215Tkf1_rev.fq.gz
Approx 55% complete for PDAC213Tkf1_rev.fq.gz
Approx 60% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC211Tkf1_fwd.fq.gz
Approx 50% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC211Tkf1_rev.fq.gz
Analysis complete for PDAC214Tkf1_rev.fq.gz
Approx 35% complete for PDAC216Tkf1_rev.fq.gz
Started analysis of PDAC218T_F8-9kf1_rev.fq.gz
Started analysis of PDAC218Tkf1_fwd.fq.gz
Approx 10% complete for PDAC217Tkf1_rev.fq.gz
Approx 65% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC217Tkf1_fwd.fq.gz
Approx 15% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC213Tkf1_fwd.fq.gz
Approx 70% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC216Tkf1_fwd.fq.gz
Approx 5% complete for PDAC218Tkf1_fwd.fq.gz
Approx 20% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC215Tkf1_fwd.fq.gz
Approx 15% complete for PDAC217Tkf1_rev.fq.gz
Approx 60% complete for PDAC213Tkf1_rev.fq.gz
Approx 75% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC215Tkf1_rev.fq.gz
Approx 65% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC216Tkf1_rev.fq.gz
Approx 20% complete for PDAC217Tkf1_fwd.fq.gz
Analysis complete for PDAC211Tkf1_rev.fq.gz
Started analysis of PDAC218Tkf1_rev.fq.gz
Approx 80% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC213Tkf1_fwd.fq.gz
Approx 85% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC218Tkf1_fwd.fq.gz
Approx 45% complete for PDAC216Tkf1_fwd.fq.gz
Approx 20% complete for PDAC217Tkf1_rev.fq.gz
Approx 75% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC217Tkf1_fwd.fq.gz
Approx 20% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC213Tkf1_rev.fq.gz
Approx 45% complete for PDAC216Tkf1_rev.fq.gz
Approx 5% complete for PDAC218Tkf1_rev.fq.gz
Approx 80% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC215Tkf1_fwd.fq.gz
Approx 50% complete for PDAC215Tkf1_rev.fq.gz
Approx 35% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC217T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC217Tkf1_rev.fq.gz
Approx 15% complete for PDAC218Tkf1_fwd.fq.gz
Approx 30% complete for PDAC217Tkf1_fwd.fq.gz
Approx 50% complete for PDAC216Tkf1_fwd.fq.gz
Approx 75% complete for PDAC213Tkf1_fwd.fq.gz
Analysis complete for PDAC217T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC219T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC218Tkf1_rev.fq.gz
Approx 30% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC216Tkf1_rev.fq.gz
Approx 5% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC213Tkf1_rev.fq.gz
Approx 95% complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC215Tkf1_fwd.fq.gz
Approx 30% complete for PDAC217Tkf1_rev.fq.gz
Approx 55% complete for PDAC215Tkf1_rev.fq.gz
Approx 45% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC218Tkf1_fwd.fq.gz
Approx 10% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC217Tkf1_fwd.fq.gz
Approx 35% complete for PDAC218T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC217T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC219T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC216Tkf1_fwd.fq.gz
Approx 15% complete for PDAC218Tkf1_rev.fq.gz
Approx 80% complete for PDAC213Tkf1_fwd.fq.gz
Approx 50% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC217Tkf1_rev.fq.gz
Approx 55% complete for PDAC216Tkf1_rev.fq.gz
Approx 40% complete for PDAC217Tkf1_fwd.fq.gz
Approx 25% complete for PDAC218Tkf1_fwd.fq.gz
Approx 25% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC213Tkf1_rev.fq.gz
Approx 10% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC215Tkf1_fwd.fq.gz
Approx 45% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC215Tkf1_rev.fq.gz
Approx 30% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC218Tkf1_rev.fq.gz
Approx 60% complete for PDAC216Tkf1_fwd.fq.gz
Approx 40% complete for PDAC217Tkf1_rev.fq.gz
Approx 35% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC217Tkf1_fwd.fq.gz
Approx 85% complete for PDAC213Tkf1_fwd.fq.gz
Approx 50% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC218Tkf1_fwd.fq.gz
Approx 40% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC216Tkf1_rev.fq.gz
Approx 65% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC213Tkf1_rev.fq.gz
Approx 45% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC215Tkf1_fwd.fq.gz
Approx 25% complete for PDAC218Tkf1_rev.fq.gz
Approx 45% complete for PDAC217Tkf1_rev.fq.gz
Approx 50% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC217Tkf1_fwd.fq.gz
Approx 65% complete for PDAC215Tkf1_rev.fq.gz
Approx 35% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC216Tkf1_fwd.fq.gz
Approx 70% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC218Tkf1_fwd.fq.gz
Approx 55% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC213Tkf1_fwd.fq.gz
Approx 60% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC216Tkf1_rev.fq.gz
Approx 60% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC217Tkf1_rev.fq.gz
Approx 30% complete for PDAC218Tkf1_rev.fq.gz
Approx 85% complete for PDAC213Tkf1_rev.fq.gz
Approx 55% complete for PDAC217Tkf1_fwd.fq.gz
Approx 65% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC215Tkf1_fwd.fq.gz
Approx 40% complete for PDAC218Tkf1_fwd.fq.gz
Approx 70% complete for PDAC216Tkf1_fwd.fq.gz
Approx 80% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC215Tkf1_rev.fq.gz
Approx 55% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC213Tkf1_fwd.fq.gz
Approx 75% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC217Tkf1_rev.fq.gz
Approx 60% complete for PDAC217Tkf1_fwd.fq.gz
Approx 60% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC218Tkf1_rev.fq.gz
Approx 70% complete for PDAC216Tkf1_rev.fq.gz
Approx 85% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC213Tkf1_rev.fq.gz
Approx 75% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC218Tkf1_fwd.fq.gz
Approx 85% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC216Tkf1_fwd.fq.gz
Approx 90% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC215Tkf1_fwd.fq.gz
Approx 60% complete for PDAC217Tkf1_rev.fq.gz
Approx 65% complete for PDAC217Tkf1_fwd.fq.gz
Approx 90% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC215Tkf1_rev.fq.gz
Approx 40% complete for PDAC218Tkf1_rev.fq.gz
Analysis complete for PDAC213Tkf1_fwd.fq.gz
Approx 75% complete for PDAC219T_F8-9kf1_rev.fq.gz
Started analysis of PDAC219Tkf1_fwd.fq.gz
Approx 95% complete for PDAC219T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC216Tkf1_rev.fq.gz
Approx 95% complete for PDAC218T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC218Tkf1_fwd.fq.gz
Approx 80% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC213Tkf1_rev.fq.gz
Approx 85% complete for PDAC218T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC219T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC219Tkf1_rev.fq.gz
Approx 65% complete for PDAC217Tkf1_rev.fq.gz
Approx 85% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC217Tkf1_fwd.fq.gz
Approx 80% complete for PDAC216Tkf1_fwd.fq.gz
Analysis complete for PDAC218T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC220T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC215Tkf1_fwd.fq.gz
Approx 45% complete for PDAC218Tkf1_rev.fq.gz
Approx 90% complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC215Tkf1_rev.fq.gz
Approx 5% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC218Tkf1_fwd.fq.gz
Approx 5% complete for PDAC219Tkf1_fwd.fq.gz
Approx 80% complete for PDAC216Tkf1_rev.fq.gz
Approx 95% complete for PDAC219T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC217Tkf1_rev.fq.gz
Approx 10% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC217Tkf1_fwd.fq.gz
Approx 95% complete for PDAC218T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC213Tkf1_rev.fq.gz
Analysis complete for PDAC219T_F8-9kf1_rev.fq.gz
Started analysis of PDAC220T_F8-9kf1_rev.fq.gz
Started analysis of PDAC220Tkf1_fwd.fq.gz
Approx 5% complete for PDAC219Tkf1_rev.fq.gz
Approx 85% complete for PDAC216Tkf1_fwd.fq.gz
Approx 50% complete for PDAC218Tkf1_rev.fq.gz
Approx 15% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC220T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC218T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC215Tkf1_fwd.fq.gz
Approx 60% complete for PDAC218Tkf1_fwd.fq.gz
Started analysis of PDAC220Tkf1_rev.fq.gz
Approx 20% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC217Tkf1_fwd.fq.gz
Approx 75% complete for PDAC217Tkf1_rev.fq.gz
Approx 85% complete for PDAC216Tkf1_rev.fq.gz
Approx 85% complete for PDAC215Tkf1_rev.fq.gz
Approx 10% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC219Tkf1_fwd.fq.gz
Approx 25% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC218Tkf1_rev.fq.gz
Approx 5% complete for PDAC220Tkf1_fwd.fq.gz
Approx 30% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC216Tkf1_fwd.fq.gz
Approx 10% complete for PDAC219Tkf1_rev.fq.gz
Approx 65% complete for PDAC218Tkf1_fwd.fq.gz
Approx 20% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC217Tkf1_fwd.fq.gz
Approx 80% complete for PDAC217Tkf1_rev.fq.gz
Approx 35% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC220Tkf1_rev.fq.gz
Approx 95% complete for PDAC215Tkf1_fwd.fq.gz
Approx 25% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC216Tkf1_rev.fq.gz
Approx 40% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC219Tkf1_fwd.fq.gz
Approx 90% complete for PDAC215Tkf1_rev.fq.gz
Approx 60% complete for PDAC218Tkf1_rev.fq.gz
Approx 30% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC220Tkf1_fwd.fq.gz
Approx 45% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC216Tkf1_fwd.fq.gz
Approx 90% complete for PDAC217Tkf1_fwd.fq.gz
Approx 70% complete for PDAC218Tkf1_fwd.fq.gz
Approx 85% complete for PDAC217Tkf1_rev.fq.gz
Approx 15% complete for PDAC219Tkf1_rev.fq.gz
Approx 35% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC220Tkf1_rev.fq.gz
Approx 40% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC216Tkf1_rev.fq.gz
Analysis complete for PDAC215Tkf1_fwd.fq.gz
Approx 65% complete for PDAC218Tkf1_rev.fq.gz
Started analysis of PDAC221T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC217Tkf1_fwd.fq.gz
Approx 20% complete for PDAC219Tkf1_fwd.fq.gz
Approx 90% complete for PDAC217Tkf1_rev.fq.gz
Approx 95% complete for PDAC215Tkf1_rev.fq.gz
Approx 45% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC220Tkf1_fwd.fq.gz
Approx 75% complete for PDAC218Tkf1_fwd.fq.gz
Approx 5% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC216Tkf1_fwd.fq.gz
Started analysis of PDAC221T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC219Tkf1_rev.fq.gz
Approx 15% complete for PDAC220Tkf1_rev.fq.gz
Approx 5% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC218Tkf1_rev.fq.gz
Analysis complete for PDAC217Tkf1_fwd.fq.gz
Approx 70% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC216Tkf1_rev.fq.gz
Approx 95% complete for PDAC217Tkf1_rev.fq.gz
Started analysis of PDAC221Tkf1_fwd.fq.gz
Approx 10% complete for PDAC221T_F8-9kf1_rev.fq.gz
Started analysis of PDAC221Tkf1_rev.fq.gz
Approx 20% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC218Tkf1_fwd.fq.gz
Approx 60% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC219Tkf1_fwd.fq.gz
Approx 75% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC220Tkf1_fwd.fq.gz
Approx 15% complete for PDAC221T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC215Tkf1_rev.fq.gz
Approx 25% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC222T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC219Tkf1_rev.fq.gz
Approx 20% complete for PDAC220Tkf1_rev.fq.gz
Analysis complete for PDAC217Tkf1_rev.fq.gz
Approx 75% complete for PDAC218Tkf1_rev.fq.gz
Approx 25% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC222T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC221Tkf1_fwd.fq.gz
Approx 85% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC218Tkf1_fwd.fq.gz
Approx 5% complete for PDAC221Tkf1_rev.fq.gz
Approx 30% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC220Tkf1_fwd.fq.gz
Approx 5% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC219Tkf1_fwd.fq.gz
Approx 45% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC218Tkf1_rev.fq.gz
Approx 10% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC221Tkf1_fwd.fq.gz
Approx 50% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC220Tkf1_rev.fq.gz
Approx 90% complete for PDAC218Tkf1_fwd.fq.gz
Approx 30% complete for PDAC219Tkf1_rev.fq.gz
Approx 45% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC221Tkf1_rev.fq.gz
Analysis complete for PDAC220T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC222Tkf1_fwd.fq.gz
Approx 15% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC220Tkf1_fwd.fq.gz
Approx 90% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC218Tkf1_rev.fq.gz
Approx 35% complete for PDAC219Tkf1_fwd.fq.gz
Approx 15% complete for PDAC221Tkf1_fwd.fq.gz
Approx 65% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC218Tkf1_fwd.fq.gz
Approx 60% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC221Tkf1_rev.fq.gz
Approx 30% complete for PDAC220Tkf1_rev.fq.gz
Approx 25% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC219Tkf1_rev.fq.gz
Analysis complete for PDAC220T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC222Tkf1_fwd.fq.gz
Started analysis of PDAC222Tkf1_rev.fq.gz
Approx 75% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC220Tkf1_fwd.fq.gz
Approx 70% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC218Tkf1_rev.fq.gz
Approx 20% complete for PDAC221Tkf1_fwd.fq.gz
Approx 80% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC218Tkf1_fwd.fq.gz
Approx 75% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC222T_F8-9kf1_rev.fq.gz
Started analysis of PDAC223T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC219Tkf1_fwd.fq.gz
Approx 20% complete for PDAC221Tkf1_rev.fq.gz
Approx 85% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC220Tkf1_rev.fq.gz
Approx 80% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC222Tkf1_fwd.fq.gz
Approx 90% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC219Tkf1_rev.fq.gz
Approx 85% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC222Tkf1_rev.fq.gz
Approx 10% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC218Tkf1_rev.fq.gz
Approx 25% complete for PDAC221Tkf1_fwd.fq.gz
Approx 40% complete for PDAC220Tkf1_fwd.fq.gz
Approx 95% complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC221T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC221Tkf1_rev.fq.gz
Approx 20% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC223T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC221T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC219Tkf1_fwd.fq.gz
Approx 40% complete for PDAC220Tkf1_rev.fq.gz
Approx 25% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC222Tkf1_fwd.fq.gz
Analysis complete for PDAC221T_F8-9kf1_rev.fq.gz
Started analysis of PDAC223Tkf1_fwd.fq.gz
Approx 60% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC218Tkf1_rev.fq.gz
Approx 10% complete for PDAC222Tkf1_rev.fq.gz
